Year,leg_id,type,bill,name,last
2016,MOL000205,primary,SB 620,Romine,
2016,MOL000387,primary,HB 2125,Fitzwater, Travis
2016,MOL000001,primary,SB 968,Brown,
2016,MOL000355,primary,HB 2428,Swan, Kathryn
2016,MOL000248,primary,HB 1941,Fitzpatrick, Scott
2016,MOL000009,primary,HB 1565,Engler, Kevin
2016,MOL000076,primary,HB 1534,Flanigan, Tom
2016,MOL000029,primary,SB 579,Schaaf,
2016,MOL000094,primary,HB 2029,Hoskins, Denny
2016,MOL000030,primary,SB 875,Schaefer,
2016,MOL000061,primary,HB 1593,Crawford, Sandy
2016,MOL000120,primary,HB 1443,Leara, Mike
2016,MOL000202,primary,SB 624,Libla,
2016,MOL000033,primary,SB 660,Wasson,
2016,MOL000169,primary,SB 838,Silvey,
2016,MOL000049,primary,HB 1530,Brown, Wanda
2016,MOL000069,primary,HB 1721,Dugger, Tony
2016,MOL000035,primary,HB 1583,Allen, Sue
2016,MOL000339,primary,HB 1979,Rowden, Caleb
2016,MOL000094,primary,HB 2140,Hoskins, Denny
2016,MOL000041,primary,HB 2203,Barnes, Jay
2016,MOL000076,primary,HB 2011,Flanigan, Tom
2016,MOL000248,primary,HB 2006,Fitzpatrick, Scott
2016,MOL000248,primary,HB 2003,Fitzpatrick, Scott
2016,MOL000248,primary,HB 2004,Fitzpatrick, Scott
2016,MOL000248,primary,HB 2009,Fitzpatrick, Scott
2016,MOL000248,primary,HB 2005,Fitzpatrick, Scott
2016,MOL000248,primary,HB 2002,Fitzpatrick, Scott
2016,MOL000248,primary,HB 2010,Fitzpatrick, Scott
2016,MOL000248,primary,HB 2012,Fitzpatrick, Scott
2016,MOL000076,primary,HB 2013,Flanigan, Tom
2016,MOL000248,primary,HB 2007,Fitzpatrick, Scott
2016,MOL000076,primary,HB 2008,Flanigan, Tom
2016,MOL000076,primary,HB 2001,Flanigan, Tom
2016,MOL000248,primary,HB 2014,Fitzpatrick, Scott
2016,MOL000033,primary,SB 586,Wasson,
2016,MOL000391,primary,HB 1983,Dogan, Shamed
2016,MOL000033,primary,SB 585,Wasson,
2015,MOL000205,primary,SB 142,Romine,
2015,MOL000366,primary,HB 42,Wood, David
2015,MOL000015,primary,SB 20,Kraus,
2015,MOL000050,primary,HB 116,Burlison, Eric
2015,MOL000120,primary,HB 326,Leara, Mike
2015,MOL000205,primary,SB 224,Romine,
2015,MOL000077,primary,HB 618,Fraker, Lyndall
2015,MOL000120,primary,HB 629,Leara, Mike
2015,MOL000033,primary,SB 345,Wasson,
2015,MOL000403,primary,HB 722,Shaul, Dan
2015,MOL000076,primary,HB 10,Flanigan, Tom
2015,MOL000405,primary,HB 799,Roeber, Rebecca
2015,MOL000333,primary,HB 878,Rhoads, Shawn
2015,MOL000084,primary,HB 1022,Gosen, Don
2015,MOL000061,primary,HB 1098,Crawford, Sandy
2015,MOL000061,primary,HB 613,Crawford, Sandy
2015,MOL000308,primary,HB 92,Miller, Rocky
2015,MOL000157,primary,SB 107,Sater,
2015,MOL000366,primary,HB 41,Wood, David
2015,MOL000015,primary,SB 104,Kraus,
2015,MOL000199,primary,SB 93,Emery,
2015,MOL000136,primary,HB 501,Montecillo, Genise
2015,MOL000138,primary,SB 334,Nasheed,
2015,MOL000202,primary,SB 373,Libla,
2015,MOL000031,primary,SB 366,Schmitt,
2015,MOL000205,primary,SB 445,Romine,
2015,MOL000008,primary,SB 58,Dixon,
2015,MOL000006,primary,SB 190,Curls,
2015,MOL000146,primary,HB 403,Phillips, Don
2015,MOL000120,primary,HB 515,Leara, Mike
2015,MOL000015,primary,SB 254,Kraus,
2015,MOL000023,primary,SB 426,Parson,
2015,MOL000014,primary,SB 456,Kehoe,
2015,MOL000168,primary,SB 164,Sifton,
2015,MOL000001,primary,SB 317,Brown,
2015,MOL000024,primary,SB 340,Pearce,
2015,MOL000393,primary,HB 947,Wiemann, John
2015,MOL000210,primary,SB 435,Walsh,
2015,MOL000415,primary,SB 497,Hegeman,
2015,MOL000153,primary,SB 500,Riddle,
2015,MOL000031,primary,SB 5,Schmitt,
2015,MOL000172,primary,HB 531,Solon, Sheila
2015,MOL000415,primary,SB 321,Hegeman,
2015,MOL000153,primary,SB 341,Riddle,
2015,MOL000118,primary,HB 1149,Lauer, Jeanie
2015,MOL000138,primary,SB 166,Nasheed,
2015,MOL000015,primary,SB 18,Kraus,
2015,MOL000353,primary,HB 361,Spencer, Bryan
2015,MOL000146,primary,HB 404,Phillips, Don
2015,MOL000146,primary,HB 402,Phillips, Don
2015,MOL000090,primary,HB 517,Higdon, Galen
2015,MOL000240,primary,HB 567,Dunn, Randy
2015,MOL000238,primary,HB 616,Dohrman, Dean
2015,MOL000415,primary,SB 405,Hegeman,
2015,MOL000240,primary,HB 859,Dunn, Randy
2015,MOL000332,primary,HB 874,Remole, Tim
2015,MOL000150,primary,HB 1119,Redmon, Craig
2015,MOL000184,primary,HB 88,Walton Gray, Rochelle
2015,MOL000372,primary,HB 400,Peters, Joshua
2015,MOL000084,primary,HB 709,Gosen, Don
2015,MOL000157,primary,SB 354,Sater,
2015,MOL000080,primary,HB 769,Frederick, Keith
2015,MOL000406,primary,HB 778,Ruth, Becky
2015,MOL000190,primary,SB 392,Wieland,
2015,MOL000387,primary,HB 861,Fitzwater, Travis
2015,MOL000008,primary,SB 463,Dixon,
2015,MOL000330,primary,HB 1116,Rehder, Holly
2015,MOL000030,primary,SB 210,Schaefer,
2015,MOL000205,primary,SB 68,Romine,
2015,MOL000044,primary,HB 125,Black, Linda
2015,MOL000199,primary,SB 87,Emery,
2015,MOL000383,primary,HB 511,Mathews, Kirk
2015,MOL000069,primary,HB 524,Dugger, Tony
2015,MOL000172,primary,HB 869,Solon, Sheila
2015,MOL000001,primary,SB 539,Brown,
2015,MOL000031,primary,SB 174,Schmitt,
2015,MOL000015,primary,SB 116,Kraus,
2015,MOL000409,primary,HB 179,Chipman, Jason
2015,MOL000138,primary,SB 156,Nasheed,
2015,MOL000183,primary,SB 34,Wallingford,
2015,MOL000059,primary,HB 522,Cookson, Steve
2015,MOL000198,primary,SB 318,Cunningham,
2015,MOL000183,primary,SB 474,Wallingford,
2015,MOL000064,primary,HB 1070,Davis, Charlie
2015,MOL000308,primary,HB 269,Miller, Rocky
2015,MOL000023,primary,SB 141,Parson,
2015,MOL000014,primary,SB 231,Kehoe,
2015,MOL000091,primary,HB 686,Hinson, Dave
2015,MOL000061,primary,HB 111,Crawford, Sandy
2015,MOL000026,primary,SB 194,Richard,
2015,MOL000120,primary,HB 514,Leara, Mike
2015,MOL000069,primary,HB 587,Dugger, Tony
2015,MOL000015,primary,SB 336,Kraus,
2015,MOL000198,primary,SB 524,Cunningham,
2015,MOL000024,primary,SB 145,Pearce,
2015,MOL000113,primary,HB 343,Lair, Mike
2015,MOL000031,primary,SB 244,Schmitt,
2015,MOL000153,primary,SB 272,Riddle,
2015,MOL000230,primary,HB 650,Cornejo, Robert
2015,MOL000076,primary,HB 17,Flanigan, Tom
2015,MOL000076,primary,HB 18,Flanigan, Tom
2015,MOL000076,primary,HB 19,Flanigan, Tom
2015,MOL000084,primary,HB 50,Gosen, Don
2015,MOL000084,primary,HB 391,Gosen, Don
2015,MOL000359,primary,HB 385,Walker, Nate
2015,MOL000308,primary,HB 1052,Miller, Rocky
2015,MOL000076,primary,HB 2,Flanigan, Tom
2015,MOL000076,primary,HB 3,Flanigan, Tom
2015,MOL000076,primary,HB 13,Flanigan, Tom
2015,MOL000076,primary,HB 6,Flanigan, Tom
2015,MOL000076,primary,HB 11,Flanigan, Tom
2015,MOL000076,primary,HB 4,Flanigan, Tom
2015,MOL000076,primary,HB 12,Flanigan, Tom
2015,MOL000076,primary,HB 1,Flanigan, Tom
2015,MOL000076,primary,HB 8,Flanigan, Tom
2015,MOL000076,primary,HB 5,Flanigan, Tom
2015,MOL000076,primary,HB 9,Flanigan, Tom
2015,MOL000076,primary,HB 7,Flanigan, Tom
2015,MOL000001,primary,SB 239,Brown,
2015,MOL000015,primary,SB 19,Kraus,
2015,MOL000157,primary,SB 24,Sater,
2015,MOL000076,primary,HB 384,Flanigan, Tom
2015,MOL000076,primary,HB 14,Flanigan, Tom
2015,MOL000023,primary,SB 149,Parson,
2015,MOL000151,primary,HB 259,Reiboldt, Bill
2015,MOL000021,primary,SB 12,Munzlinger,
2015,MOL000069,primary,HB 63,Dugger, Tony
2015,MOL000076,primary,HB 16,Flanigan, Tom
2014,MOL000199,primary,SB 523,Emery,
2014,MOL000015,primary,SB 656,Kraus,
2014,MOL000157,primary,SB 593,Sater,
2014,MOL000009,primary,HB 1132,Engler, Kevin
2014,MOL000324,primary,HB 1261,Pfautsch, Donna
2014,MOL000071,primary,HB 1307,Elmer, Kevin
2014,MOL000076,primary,HB 1359,Flanigan, Tom
2014,MOL000003,primary,SB 727,Chappelle-Nadal,
2014,MOL000138,primary,SB 731,Nasheed,
2014,MOL000238,primary,HB 1553,Dohrman, Dean
2014,MOL000015,primary,SB 829,Kraus,
2014,MOL000175,primary,HB 2009,Stream, Rick
2014,MOL000175,primary,HB 2002,Stream, Rick
2014,MOL000175,primary,HB 2007,Stream, Rick
2014,MOL000175,primary,HB 2011,Stream, Rick
2014,MOL000175,primary,HB 2012,Stream, Rick
2014,MOL000175,primary,HB 2005,Stream, Rick
2014,MOL000175,primary,HB 2008,Stream, Rick
2014,MOL000175,primary,HB 2010,Stream, Rick
2014,MOL000175,primary,HB 2003,Stream, Rick
2014,MOL000033,primary,SB 841,Wasson,
2014,MOL000033,primary,SB 866,Wasson,
2014,MOL000040,primary,HB 1490,Bahr, Kurt
2014,MOL000316,primary,HB 1685,Neely, Jim
2014,MOL000101,primary,HB 2238,Jones, Caleb
2014,MOL000183,primary,SB 527,Wallingford,
2014,MOL000008,primary,SB 606,Dixon,
2014,MOL000294,primary,HB 1225,Love, Warren
2014,MOL000003,primary,SB 567,Chappelle-Nadal,
2014,MOL000033,primary,SB 691,Wasson,
2014,MOL000001,primary,SB 716,Brown,
2014,MOL000157,primary,SB 754,Sater,
2014,MOL000058,primary,HB 1603,Conway, Pat
2014,MOL000033,primary,SB 808,Wasson,
2014,MOL000064,primary,HB 1710,Davis, Charlie
2014,MOL000069,primary,HB 1217,Dugger, Tony
2014,MOL000138,primary,SB 532,Nasheed,
2014,MOL000308,primary,HB 1075,Miller, Rocky
2014,MOL000060,primary,HB 1231,Cox, Stanley
2014,MOL000091,primary,HB 1238,Hinson, Dave
2014,MOL000016,primary,SB 701,Lager,
2014,MOL000062,primary,HB 1410,Cross, Gary L.
2014,MOL000014,primary,SB 719,Kehoe,
2014,MOL000060,primary,HB 1371,Cox, Stanley
2014,MOL000023,primary,SB 723,Parson,
2014,MOL000205,primary,SB 782,Romine,
2014,MOL000101,primary,HB 1665,Jones, Caleb
2014,MOL000031,primary,SB 869,Schmitt,
2014,MOL000026,primary,SB 907,Richard,
2014,MOL000055,primary,HB 2029,Cierpiot, Mike
2014,MOL000008,primary,SB 621,Dixon,
2014,MOL000366,primary,HB 1189,Wood, David
2014,MOL000015,primary,SB 655,Kraus,
2014,MOL000365,primary,HB 1206,Wilson, Kenneth
2014,MOL000115,primary,HB 1092,Lant, Bill
2014,MOL000023,primary,SB 672,Parson,
2014,MOL000198,primary,SB 706,Cunningham,
2014,MOL000086,primary,HB 1326,Guernsey, Casey
2014,MOL000001,primary,SB 735,Brown,
2014,MOL000050,primary,HB 1614,Burlison, Eric
2014,MOL000355,primary,HB 1689,Swan, Kathryn
2014,MOL000248,primary,HB 1831,Fitzpatrick, Scott
2014,MOL000014,primary,SB 890,Kehoe,
2014,MOL000001,primary,SB 664,Brown,
2014,MOL000093,primary,SB 601,Holsman,
2014,MOL000205,primary,SB 642,Romine,
2014,MOL000339,primary,HB 1300,Rowden, Caleb
2014,MOL000068,primary,HB 1426,Diehl, John
2014,MOL000205,primary,SB 729,Romine,
2014,MOL000118,primary,HB 1459,Lauer, Jeanie
2014,MOL000078,primary,HB 1506,Franklin, Diane
2014,MOL000193,primary,HB 1504,Zerr, Anne
2014,MOL000152,primary,HB 1631,Richardson, Todd
2014,MOL000057,primary,HB 1707,Conway, Kathie
2014,MOL000064,primary,HB 1724,Davis, Charlie
2014,MOL000160,primary,HB 1866,Schatz, Dave
2014,MOL000295,primary,HB 2040,Lynch, Steve
2014,MOL000068,primary,HB 2141,Diehl, John
2014,MOL000157,primary,SB 600,Sater,
2014,MOL000106,primary,HB 1190,Kelley, Mike
2014,MOL000007,primary,SB 773,Dempsey,
2014,MOL000031,primary,SB 767,Schmitt,
2014,MOL000031,primary,SB 852,Schmitt,
2014,MOL000126,primary,HB 1085,McCaherty, John
2014,MOL000198,primary,SB 525,Cunningham,
2014,MOL000021,primary,SB 504,Munzlinger,
2014,MOL000168,primary,SB 643,Sifton,
2014,MOL000263,primary,HB 1303,Haahr, Elijah
2014,MOL000021,primary,SB 745,Munzlinger,
2014,MOL000064,primary,HB 1594,Davis, Charlie
2014,MOL000014,primary,SB 785,Kehoe,
2014,MOL000023,primary,SB 796,Parson,
2014,MOL000023,primary,SB 812,Parson,
2014,MOL000069,primary,HB 1999,Dugger, Tony
2014,MOL000175,primary,HB 2077,Stream, Rick
2014,MOL000001,primary,SB 639,Brown,
2014,MOL000169,primary,SB 635,Silvey,
2014,MOL000031,primary,SB 689,Schmitt,
2014,MOL000003,primary,SB 794,Chappelle-Nadal,
2014,MOL000033,primary,SB 809,Wasson,
2014,MOL000014,primary,SB 818,Kehoe,
2014,MOL000023,primary,SB 842,Parson,
2014,MOL000008,primary,SB 844,Dixon,
2014,MOL000183,primary,SB 896,Wallingford,
2014,MOL000160,primary,HB 1867,Schatz, Dave
2014,MOL000084,primary,HB 1304,Gosen, Don
2014,MOL000115,primary,HB 1270,Lant, Bill
2014,MOL000146,primary,HB 1412,Phillips, Don
2014,MOL000041,primary,HB 1693,Barnes, Jay
2014,MOL000175,primary,HB 2006,Stream, Rick
2014,MOL000175,primary,HB 2004,Stream, Rick
2014,MOL000175,primary,HB 2013,Stream, Rick
2014,MOL000175,primary,HB 2001,Stream, Rick
2014,MOL000175,primary,HB 2021,Stream, Rick
2014,MOL000013,primary,SB 500,Keaveny,
2014,MOL000088,primary,HB 1245,Hampton, Kent
2014,MOL000033,primary,SB 690,Wasson,
2014,MOL000355,primary,HB 1454,Swan, Kathryn
2014,MOL000111,primary,HB 1692,Korman, Bart
2014,MOL000055,primary,HB 1735,Cierpiot, Mike
2014,MOL000183,primary,SB 884,Wallingford,
2014,MOL000153,primary,HB 2163,Riddle, Jeanie
2014,MOL000009,primary,HB 1201,Engler, Kevin
2014,MOL000183,primary,SB 529,Wallingford,
2014,MOL000202,primary,SB 530,Libla,
2014,MOL000094,primary,HB 1237,Hoskins, Denny
2014,MOL000006,primary,SB 680,Curls,
2014,MOL000332,primary,HB 1302,Remole, Tim
2014,MOL000060,primary,HB 1372,Cox, Stanley
2014,MOL000153,primary,HB 1779,Riddle, Jeanie
2014,MOL000120,primary,HB 1882,Leara, Mike
2014,MOL000024,primary,SB 492,Pearce,
2014,MOL000180,primary,HB 1389,Thomson, Mike
2014,MOL000084,primary,HB 1361,Gosen, Don
2014,MOL000075,primary,HB 1791,Fitzwater, Paul
2014,MOL000084,primary,HB 1968,Gosen, Don
2014,MOL000110,primary,HB 1296,Koenig, Andrew
2014,MOL000094,primary,HB 1455,Hoskins, Denny
2014,MOL000150,primary,HB 1865,Redmon, Craig
2014,MOL000069,primary,HB 1218,Dugger, Tony
2014,MOL000126,primary,HB 1081,McCaherty, John
2014,MOL000126,primary,HB 1090,McCaherty, John
2014,MOL000069,primary,HB 1523,Dugger, Tony
2014,MOL000009,primary,HB 1602,Engler, Kevin
2014,MOL000263,primary,HB 1835,Haahr, Elijah
2014,MOL000023,primary,SB 609,Parson,
2014,MOL000084,primary,HB 1079,Gosen, Don
2014,MOL000085,primary,HB 1064,Grisamore, Jeff
2014,MOL000069,primary,HB 1136,Dugger, Tony
2014,MOL000023,primary,SB 610,Parson,
2014,MOL000139,primary,HB 1301,Neth, Myron
2014,MOL000062,primary,HB 1411,Cross, Gary L.
2014,MOL000060,primary,HB 1376,Cox, Stanley
2014,MOL000198,primary,SB 734,Cunningham,
2014,MOL000316,primary,HB 1656,Neely, Jim
2014,MOL000077,primary,HB 1651,Fraker, Lyndall
2014,MOL000015,primary,SB 892,Kraus,
2014,MOL000015,primary,SB 509,Kraus,
2014,MOL000175,primary,HB 2014,Stream, Rick
2014,MOL000070,primary,HB 1320,Ellinger, Rory
2014,MOL000016,primary,SB 650,Lager,
2014,MOL000016,primary,SB 653,Lager,
2014,MOL000016,primary,SB 649,Lager,
2014,MOL000016,primary,SB 651,Lager,
2014,MOL000169,primary,SB 668,Silvey,
2014,MOL000069,primary,HB 1125,Dugger, Tony
2013,MOL000024,primary,SB 9,Pearce,
2013,MOL000001,primary,SB 110,Brown,
2013,MOL000157,primary,SB 129,Sater,
2013,MOL000171,primary,HB 110,Smith, Jason
2013,MOL000171,primary,HB 110,Smith, Jason
2013,MOL000003,primary,SB 170,Chappelle-Nadal,
2013,MOL000043,primary,HB 253,Berry, T.J.
2013,MOL000046,primary,HB 278,Brattin, Rick
2013,MOL000009,primary,HB 301,Engler, Kevin
2013,MOL000069,primary,HB 329,Dugger, Tony
2013,MOL000190,primary,HB 339,Wieland, Paul
2013,MOL000082,primary,HB 436,Funderburk, Doug
2013,MOL000175,primary,HB 7,Stream, Rick
2013,MOL000175,primary,HB 10,Stream, Rick
2013,MOL000115,primary,HB 611,Lant, Bill
2013,MOL000338,primary,HB 650,Ross, Robert
2013,MOL000175,primary,HB 19,Stream, Rick
2013,MOL000106,primary,HB 1035,Kelley, Mike
2013,MOL000175,primary,HB 14,Stream, Rick
2013,MOL000175,primary,HB 8,Stream, Rick
2013,MOL000021,primary,SB 42,Munzlinger,
2013,MOL000001,primary,SB 75,Brown,
2013,MOL000138,primary,SB 125,Nasheed,
2013,MOL000121,primary,HB 28,Lichtenegger, Donna
2013,MOL000069,primary,HB 116,Dugger, Tony
2013,MOL000197,primary,HB 128,Sommer, Chrissy
2013,MOL000024,primary,SB 254,Pearce,
2013,MOL000201,primary,SB 258,LeVota,
2013,MOL000006,primary,SB 262,Curls,
2013,MOL000021,primary,SB 17,Munzlinger,
2013,MOL000172,primary,HB 152,Solon, Sheila
2013,MOL000060,primary,HB 184,Cox, Stanley
2013,MOL000118,primary,HB 196,Lauer, Jeanie
2013,MOL000160,primary,HB 673,Schatz, Dave
2013,MOL000015,primary,SB 381,Kraus,
2013,MOL000028,primary,SB 1,Rupp,
2013,MOL000001,primary,SB 106,Brown,
2013,MOL000015,primary,SB 116,Kraus,
2013,MOL000015,primary,SB 117,Kraus,
2013,MOL000015,primary,SB 118,Kraus,
2013,MOL000106,primary,HB 103,Kelley, Mike
2013,MOL000086,primary,HB 159,Guernsey, Casey
2013,MOL000001,primary,SB 186,Brown,
2013,MOL000159,primary,HB 303,Scharnhorst, Dwight
2013,MOL000246,primary,HB 702,Englund, Vicki
2013,MOL000001,primary,SB 230,Brown,
2013,MOL000084,primary,HB 322,Gosen, Don
2013,MOL000169,primary,SB 256,Silvey,
2013,MOL000087,primary,HB 505,Haefner, Marsha
2013,MOL000021,primary,SB 89,Munzlinger,
2013,MOL000157,primary,SB 127,Sater,
2013,MOL000024,primary,SB 161,Pearce,
2013,MOL000015,primary,SB 251,Kraus,
2013,MOL000033,primary,SB 330,Wasson,
2013,MOL000041,primary,HB 986,Barnes, Jay
2013,MOL000023,primary,SB 23,Parson,
2013,MOL000013,primary,SB 99,Keaveny,
2013,MOL000308,primary,HB 331,Miller, Rocky
2013,MOL000055,primary,HB 345,Cierpiot, Mike
2013,MOL000153,primary,HB 533,Riddle, Jeanie
2013,MOL000069,primary,HB 142,Dugger, Tony
2013,MOL000064,primary,HB 148,Davis, Charlie
2013,MOL000060,primary,HB 374,Cox, Stanley
2013,MOL000082,primary,HB 432,Funderburk, Doug
2013,MOL000008,primary,SB 327,Dixon,
2013,MOL000085,primary,HB 675,Grisamore, Jeff
2013,MOL000013,primary,SB 100,Keaveny,
2013,MOL000060,primary,HB 215,Cox, Stanley
2013,MOL000120,primary,HB 233,Leara, Mike
2013,MOL000061,primary,HB 235,Crawford, Sandy
2013,MOL000080,primary,HB 351,Frederick, Keith
2013,MOL000294,primary,HB 542,Love, Warren
2013,MOL000013,primary,SB 69,Keaveny,
2013,MOL000069,primary,HB 117,Dugger, Tony
2013,MOL000061,primary,HB 175,Crawford, Sandy
2013,MOL000205,primary,SB 188,Romine,
2013,MOL000033,primary,SB 248,Wasson,
2013,MOL000015,primary,SB 252,Kraus,
2013,MOL000182,primary,HB 510,Torpey, Noel
2013,MOL000183,primary,SB 35,Wallingford,
2013,MOL000205,primary,SB 58,Romine,
2013,MOL000169,primary,SB 216,Silvey,
2013,MOL000146,primary,HB 316,Phillips, Don
2013,MOL000091,primary,HB 336,Hinson, Dave
2013,MOL000049,primary,HB 349,Brown, Wanda
2013,MOL000057,primary,HB 404,Conway, Kathie
2013,MOL000139,primary,HB 418,Neth, Myron
2013,MOL000077,primary,HB 451,Fraker, Lyndall
2013,MOL000190,primary,HB 478,Wieland, Paul
2013,MOL000175,primary,HB 1,Stream, Rick
2013,MOL000175,primary,HB 2,Stream, Rick
2013,MOL000175,primary,HB 3,Stream, Rick
2013,MOL000175,primary,HB 4,Stream, Rick
2013,MOL000175,primary,HB 5,Stream, Rick
2013,MOL000175,primary,HB 6,Stream, Rick
2013,MOL000175,primary,HB 9,Stream, Rick
2013,MOL000175,primary,HB 11,Stream, Rick
2013,MOL000175,primary,HB 12,Stream, Rick
2013,MOL000175,primary,HB 13,Stream, Rick
2013,MOL000205,primary,SB 357,Romine,
2013,MOL000120,primary,HB 722,Leara, Mike
2013,MOL000175,primary,HB 17,Stream, Rick
2013,MOL000175,primary,HB 18,Stream, Rick
2013,MOL000157,primary,SB 126,Sater,
2013,MOL000033,primary,SB 282,Wasson,
2013,MOL000033,primary,SB 148,Wasson,
2013,MOL000157,primary,SB 157,Sater,
2013,MOL000160,primary,HB 428,Schatz, Dave
2013,MOL000126,primary,HB 715,McCaherty, John
2013,MOL000017,primary,SB 47,Lamping,
2013,MOL000031,primary,SB 159,Schmitt,
2013,MOL000135,primary,HB 58,Molendorp, Chris
2013,MOL000060,primary,HB 212,Cox, Stanley
2013,MOL000001,primary,SB 229,Brown,
2013,MOL000153,primary,HB 307,Riddle, Jeanie
2013,MOL000169,primary,SB 257,Silvey,
2013,MOL000101,primary,HB 498,Jones, Caleb
2013,MOL000084,primary,HB 133,Gosen, Don
2013,MOL000157,primary,SB 205,Sater,
2013,MOL000012,primary,SB 208,Justus,
2013,MOL000155,primary,HB 315,Rowland, Lyle
2013,MOL000125,primary,HB 656,May, Karla
2013,MOL000017,primary,SB 33,Lamping,
2013,MOL000183,primary,SB 36,Wallingford,
2013,MOL000030,primary,SB 72,Schaefer,
2013,MOL000030,primary,SB 121,Schaefer,
2013,MOL000157,primary,SB 197,Sater,
2013,MOL000106,primary,HB 68,Kelley, Mike
2013,MOL000101,primary,HB 256,Jones, Caleb
2013,MOL000028,primary,SB 59,Rupp,
2013,MOL000033,primary,SB 234,Wasson,
2013,MOL000198,primary,SB 235,Cunningham,
2013,MOL000199,primary,SB 237,Emery,
2013,MOL000205,primary,SB 80,Romine,
2013,MOL000017,primary,SB 191,Lamping,
2013,MOL000028,primary,SB 287,Rupp,
2013,MOL000033,primary,SB 306,Wasson,
2013,MOL000183,primary,SB 324,Wallingford,
2013,MOL000157,primary,SB 376,Sater,
2013,MOL000248,primary,HB 163,Fitzpatrick, Scott
2013,MOL000021,primary,SB 16,Munzlinger,
2013,MOL000001,primary,SB 329,Brown,
2012,MOL000008,primary,SB 469,Dixon,
2012,MOL000171,primary,HB 1135,Smith, Jason
2012,MOL000132,primary,HB 1608,McNary, Cole
2012,MOL000008,primary,SB 470,Dixon,
2012,MOL000023,primary,SB 568,Parson,
2012,MOL000013,primary,SB 636,Keaveny,
2012,MOL000014,primary,SB 719,Kehoe,
2012,MOL000069,primary,HB 1036,Dugger, Tony
2012,MOL000061,primary,HB 1103,Crawford, Sandy
2012,MOL000065,primary,HB 1105,Day, David
2012,MOL000156,primary,HB 1250,Ruzicka, Don
2012,MOL000187,primary,HB 1308,Wells, Don
2012,MOL000169,primary,HB 1329,Silvey, Ryan
2012,MOL000101,primary,HB 1460,Jones, Caleb
2012,MOL000137,primary,HB 1495,Nance, Bob
2012,MOL000157,primary,HB 1563,Sater, David
2012,MOL000123,primary,HB 1758,Long, Thomas
